# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 5.63257048995e+07, 1.11458739340e+03, 1.79672930293e-04, 2.01964691648e+05, 1.60470194424e-01, 9.44008024335e+02, 1.72742173116e+03, 1.51429663859e+05 
1.00000000000e+00, 5.68277082915e+07, 1.11557469945e+03, 1.80280146135e-04, 2.02122464906e+05, 1.60817191838e-01, 9.44235877010e+02, 1.72582385761e+03, 1.51182166315e+05 
1.00000000000e+00, 5.73297116834e+07, 1.11655586324e+03, 1.80886209751e-04, 2.02281347163e+05, 1.61162967094e-01, 9.44463803386e+02, 1.72424815327e+03, 1.50936212028e+05 
1.00000000000e+00, 5.78317150754e+07, 1.11753097170e+03, 1.81491138536e-04, 2.02441321500e+05, 1.61507536188e-01, 9.44691803720e+02, 1.72269415789e+03, 1.50691780288e+05 
1.00000000000e+00, 5.83337184673e+07, 1.11850010986e+03, 1.82094949514e-04, 2.02602371377e+05, 1.61850914786e-01, 9.44919878266e+02, 1.72116142440e+03, 1.50448850824e+05 
1.00000000000e+00, 5.88357218593e+07, 1.11946336088e+03, 1.82697659346e-04, 2.02764480624e+05, 1.62193118232e-01, 9.45148027272e+02, 1.71964951846e+03, 1.50207403800e+05 
1.00000000000e+00, 5.93377252513e+07, 1.12042080616e+03, 1.83299284344e-04, 2.02927633427e+05, 1.62534161556e-01, 9.45376250981e+02, 1.71815801793e+03, 1.49967419795e+05 
1.00000000000e+00, 5.98397286432e+07, 1.12137252531e+03, 1.83899840477e-04, 2.03091814321e+05, 1.62874059486e-01, 9.45604549624e+02, 1.71668651251e+03, 1.49728879798e+05 
1.00000000000e+00, 6.03417320352e+07, 1.12231859629e+03, 1.84499343386e-04, 2.03257008175e+05, 1.63212826452e-01, 9.45832923423e+02, 1.71523460327e+03, 1.49491765191e+05 
1.00000000000e+00, 6.08437354271e+07, 1.12325909538e+03, 1.85097808387e-04, 2.03423200188e+05, 1.63550476597e-01, 9.46061372584e+02, 1.71380190227e+03, 1.49256057739e+05 
1.00000000000e+00, 6.13457388191e+07, 1.12419409729e+03, 1.85695250488e-04, 2.03590375875e+05, 1.63887023787e-01, 9.46289897298e+02, 1.71238803217e+03, 1.49021739581e+05 
1.00000000000e+00, 6.18477422111e+07, 1.12512367516e+03, 1.86291684390e-04, 2.03758521059e+05, 1.64222481613e-01, 9.46518497742e+02, 1.71099262583e+03, 1.48788793218e+05 
1.00000000000e+00, 6.23497456030e+07, 1.12604790063e+03, 1.86887124499e-04, 2.03927621863e+05, 1.64556863403e-01, 9.46747174073e+02, 1.70961532600e+03, 1.48557201504e+05 
1.00000000000e+00, 6.28517489950e+07, 1.12696684387e+03, 1.87481584935e-04, 2.04097664702e+05, 1.64890182226e-01, 9.46975926429e+02, 1.70825578499e+03, 1.48326947634e+05 
